query_id,question,mode,prompt_strategy,expert_mode,model_output,reference_answer,retrieved_sources,error_type,root_cause,proposed_fix,before_after_evidence
q003,"In the CS 202401 curriculum, which requirement category does ACC 301 belong to?",llm_only,basic,auto,"Maalesef, elimde resmi kaynak veya müfredat bilgisi olmadığı için CS 202401 ders müfredatını veya ACC 301 dersinin hangi gereklilik kategorisine ait olduğunu kesin olarak bilmiyorum. Sabancı Üniversitesi'nin müfredat yapısı hakkında genel bir fikrim olabilir, ancak bu konuda net bir bilgi veremem. ACC 301 dersinin hangi gereklilik kategorisine ait olduğunu öğrenmek için, resmi Sabancı Üniversitesi kaynaklarına veya öğrenci bilgi sistemine başvurmanız gerekebilir.",ACC 301 belongs to the free electives pool of the CS 202401 curriculum.,,insufficient_context,,,
q005,How many SU credits and ECTS does ACC 301 carry in the CS 202401 curriculum?,llm_only,basic,auto,"Özgün bir cevap verebilmem için daha fazla bilgiye ihtiyaç duyuyorum. Sabancı Üniversitesi'nin müfredatını ve kredilerini tam olarak bilmem mümkün değil, zira resmi kaynaklara erişemem. ACC 301 dersini ve CS 202401 müfredatını da içerir bu durum. SU kredisi ve ECTS puanları genellikle dersin niteliğine, kapsamına ve üniversitenin eğitim politikalarına bağlı olarak değişebilir. Eğer ACC 301 dersi ile ilgili kesin bir sayı vermem gerekirse, bunu yapabilmem için daha spesifik ve güncel bilgilere ihtiyaç duyuyorum.",ACC 301 carries 3 SU credits and 6 ECTS.,,generation_hallucination,,,
q006,What is the minimum total number of SU credits required to graduate from the CS 202401 curriculum?,llm_only,basic,auto,"Öğrencinin Sabancı Üniversitesi'nden (SU) Bilgisayar Bilimi (CS) bölümünden mezun olabilmesi için gereken minimum toplam kredi sayısını tam olarak bilmiyorum. Ancak genel olarak, birçok üniversitede, öğrencilerin mezun olabilmeleri için belirli bir kredi sayısını tamamlamaları gerekir ve bu sayı genellikle 120-140 kredi arasında değişir. Sabancı Üniversitesi'nin CS 202401 müfredatının özel gereksinimlerini tam olarak bilmemem nedeniyle, bu konuda kesin bir sayı veremem. Eğer doğru ve güncel bilgiye ulaşmak istiyorsanız, Sabancı Üniversitesi'nin resmi web sitesini ziyaret etmenizi veya doğrudan üniversiteyle iletişime geçmenizi öneririm.",125 SU credits.,,generation_hallucination,,,
q007,What is the minimum total ECTS required for the CS 202401 curriculum?,llm_only,basic,auto,"Özür dilerim, ancak Sabancı Üniversitesi'nin CS 202401 müfredatına ilişkin minimum toplam ECTS (Avrupa Kredi Transfer Sistem) gereksinimlerini bilmiyorum. Bu bilgi, üniversitenin resmi kaynaklarında veya müfredat belgelerinde bulunabilir. size önerim, Sabancı Üniversitesi'nin resmi web sitesini ziyaret etmek veya akademik danışmanınıza danışmaktır.",240 ECTS.,,generation_hallucination,,,
q008,How many SU credits of area electives are required in the CS 202401 curriculum?,llm_only,basic,auto,"Maalesef, Sabancı Üniversitesi'nin CS 202401 müfredatının detaylarına ilişkin resmi bir kaynağım yok. Dolayısıyla, bu program için gerekli olan alan seçmeli (area electives) derslerinin kredi sayısını kesin olarak söyleyemem. Sabancı Üniversitesi'nin müfredatını ve kredi dağılımını öğrenmek için, resmi kaynaklara veya üniversite web sitesine başvurmanızı öneririm.",9 SU credits of area electives.,,generation_hallucination,,,
q009,How many SU credits of core electives are required in the CS 202401 curriculum?,llm_only,basic,auto,"Maalesef, Sabancı Üniversitesi'nin CS 202401 müfredatına ilişkin resmi bir kaynağım veya güncel bilgim yok. Dolayısıyla, CS 202401 müfredatında gereken çekirdek seçmeli derslerin kredilerini kesin olarak söyleyemem. Sabancı Üniversitesi'nin müfredat detayları ve kredi gereklilikleri hakkında en güncel ve doğru bilgi için, üniversitenin resmi web sitesini veya akademik danışmanlarını kontrol etmenizi öneririm.",31 SU credits of core electives.,,generation_hallucination,,,
q010,How many SU credits of free electives are required in the CS 202401 curriculum?,llm_only,basic,auto,"Öğrenci kayıtları veya müfredat kaynaklarına erişimi olmadığını dikkate alarak, Sabancı Üniversitesi'nin bilgisayar bilimi (CS) bölümünün 202401 müfredatını kesin olarak bilmiyorum. Ancak, genel olarak birçok üniversitede olduğu gibi, bilgisayar bilimi bölümlerinde belirli bir miktar serbest seçimlik ders (free electives) zorunluluğu bulunabilir.

Sabancı Üniversitesi'nin bilgisayar bilimi bölümü için 202401 müfredatında kaç kredi serbest seçimlik ders gerektiği konusunda net bir bilgiye sahip değilim. Bu bilgiyi kesin olarak öğrenmek için, resmi Sabancı Üniversitesi kaynaklarına veya akademik danışmanlara başvurmak en doğru yol olacaktır.",15 SU credits of free electives.,,insufficient_context,,,
q011,How many SU credits of required courses are required in the CS 202401 curriculum?,llm_only,basic,auto,"I'm not familiar with the specific details of the CS 202401 curriculum at Sabancı University, as I don't have access to official sources or up-to-date information. The credit requirements for required courses can vary depending on the program and the university's policies. If you're looking for accurate information, I recommend checking the official Sabancı University website, contacting their admissions office, or consulting with an academic advisor who has access to the most current curriculum details.",29 SU credits of required courses.,,generation_hallucination,,,
q013,CS 202401 müfredatında mezun olmak için gereken minimum toplam SU kredisi kaçtır?,llm_only,basic,auto,"Maalesef, Sabancı Üniversitesi'nin CS 202401 müfredatında mezun olmak için gereken minimum toplam SU kredisi hakkında net bir bilgiye sahip değilim. Bu tür具体 bir soru için resmi kaynaklara veya güncel müfredat bilgisine ihtiyaç vardır. Eğer mümkünse, Sabancı Üniversitesi'nin resmi web sitesini veya akademik danışmanlarınızı kontrol etmenizi öneririm.",125 SU kredisi.,,insufficient_context,,,
q014,ACC 301 dersi CS 202401 müfredatında kaç SU kredisidir?,llm_only,basic,auto,"Maalesef, elimde resmi kaynak veya müfredat bilgisi olmadığı için ACC 301 dersinin CS 202401 müfredatında kaç SU kredisini kesin olarak söyleyemiyorum. Sabancı Üniversitesi'nin müfredatını veya ders kredisini belirleyen spesifik kuralları hakkında yeterli bilgiye sahip değilim. Bu bilgi için resmi Sabancı Üniversitesi kaynaklarına veya akademik danışmanlara başvurmanız daha doğru olacaktır.",ACC 301 dersi 3 SU kredisidir.,,insufficient_context,,,
q015,What are the requirements of the Mathematics minor programme?,llm_only,basic,auto,"I'm not familiar with the specific requirements of the Mathematics minor programme at Sabancı University, as I don't have access to the official curriculum or course catalog. Typically, a minor programme in Mathematics would require a set of core courses in mathematics, as well as elective courses that allow students to explore different areas of mathematics. However, I couldn't provide the exact requirements without referring to the official university sources. If you're interested in learning more, I recommend checking the university's website or contacting the mathematics department directly for the most up-to-date and accurate information.","Minor degree requirement profile for Mathematics Minor Undergraduate Program (MATH-MINOR), admit/curriculum term Fall 2024-2025 (202401). Total minimum SU credits: 21. Total minimum ECTS: None. Sections: required courses (9 SU, 3 courses in pool), core electives (12 SU, 14 courses in pool). Diploma area advisors: Mohammad Sadek.",,generation_hallucination,,,
q016,What is the minimum total number of SU credits required for the IE 202401 curriculum?,llm_only,basic,auto,"Öğrenci kaydı veya müfredat kaynağı olmadan, Sabancı Üniversitesi'nin IE 202401 müfredatının gerektirdiği minimum toplam SU kredisi sayısını kesin olarak söyleyemem. Genellikle üniversitelerde her bölüm ve müfredat için farklı kredi sayıları uygulanabilir ve bu sayılar zaman içinde güncellenebilir. Eğer bu bilgiye ihtiyaç duyuyorsanız, Sabancı Üniversitesi'nin resmi web sitesini veya akademik danışmanlık hizmetlerini kontrol etmenizi öneririm.",125 SU credits.,,generation_hallucination,,,
